../build/src/gnucap -a ../gnucap-icarus/gnucap-icarus.so -c verilog netlist-dkc.sp </dev/null  -- gnucap-icarus as plugin
Gnucap 2009.02.02 RCS 26.109
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2007, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
transient: already installed, replacing
stashing as transient:0
#Time       v(gnd!)    v(n1)      v(n2)      v(n3)      v(n4)      v(n5)      v(vdd!)   
0.0 IN ->z
 0.         0.         0.         3.         8.3195n    3.         8.3195n    3.        
 6.73n      10.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 6.74n      10.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 6.75n      10.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 6.76n      11.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 6.77n      13.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
676.9 IN ->1
 6.78n      14.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 6.79n      15.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 6.8n       17.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 6.81n      17.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 6.82n      18.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 6.83n      18.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 6.84n      18.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 6.85n      16.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 6.86n      18.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
686.9 OUT->0 IN=1
 6.87n      15.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 6.88n      16.f       740.14p   -0.40704    2.9141    -0.01498    2.9923     3.        
 6.89n      2.f        649.77p    0.5343     3.1692     0.042958   3.0248     3.        
 6.9n      -2.f        514.12p    1.3359     3.1487    -0.004148   2.987      3.        
 6.91n     -3.f        336.59p    1.9187     2.7987    -0.060034   2.9795     3.        
 6.92n     -2.f        177.81p    2.2628     2.1663    -0.12071    2.9776     3.        
 6.93n     -3.f        102.83p    2.4529     1.4159    -0.086254   3.0146     3.        
 6.94n     -3.f        87.634p    2.5819     0.75617    0.17333    3.104      3.        
 6.95n     -5.f        103.9p     2.7117     0.37349    0.69502    3.2132     3.        
 6.96n     -6.f        66.985p    2.8274     0.21918    1.2838     3.0433     3.        
 6.97n     -7.f        35.691p    2.8993     0.13802    1.7304     2.3696     3.        
697.7 IN ->0
 6.98n     -7.f        21.459p    2.9388     0.075337   1.9629     1.1377     3.        
 6.99n     -7.f        22.484p    2.9686     0.062655   2.2211     0.23688    3.        
 7.n       -6.f        4.186p     2.9866     0.069408   2.548      0.050721   3.        
 7.01n     -5.f        501.f      2.9898     0.050173   2.7672     0.046515   3.        
 7.02n     -5.f        635.f      2.9906     0.027479   2.8756     0.015018   3.        
 7.03n     -3.f        4.675p     2.9926     0.015639   2.9376     0.011883   3.        
 7.04n     -4.f        2.733p     2.9936     0.0079157  2.9673     0.0040412  3.        
 7.05n     -3.f        3.068p     2.9957     0.0044849  2.9838     0.0030582  3.        
 7.06n     -3.f        3.677p     2.9961     0.0021531  2.9915     0.0010785  3.        
 7.07n     -3.f       -1.253p     2.9969     0.0028275  2.9961     952.68u    3.        
707.7 OUT->1 IN=0
 7.08n     -2.f        4.584p     2.9975     712.97u    2.9976     63.64u     3.        
 7.09n     -2.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 7.1n      -2.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 7.11n      5.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 7.12n      10.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 7.13n      13.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 7.14n      12.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 7.15n      18.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 7.16n      16.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 7.17n      15.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 7.18n      20.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
717.9 IN ->1
 7.19n      20.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 7.2n       23.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 7.21n      24.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 7.22n      28.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 7.23n      27.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 7.24n      27.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 7.25n      27.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 7.26n      28.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 7.27n      28.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
727.9 OUT->0 IN=1
 7.28n      27.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 7.29n      30.f       19.128n   -0.40704    2.9141    -0.01498    2.9923     3.        
 7.3n       2.f       -17.738n    0.5343     3.1692     0.042958   3.0248     3.        
 7.31n     -5.f       -17.874n    1.3359     3.1487    -0.004148   2.987      3.        
 7.32n     -5.f       -18.051n    1.9187     2.7987    -0.060034   2.9795     3.        
 7.33n     -4.f       -18.21n     2.2628     2.1663    -0.12071    2.9776     3.        
 7.34n     -4.f        18.491n    2.4529     1.4159    -0.086254   3.0146     3.        
 7.35n     -4.f       -18.3n      2.5819     0.75617    0.17333    3.104      3.        
 7.36n     -4.f        18.492n    2.7117     0.37349    0.69502    3.2132     3.        
 7.37n     -5.f       -18.321n    2.8274     0.21918    1.2838     3.0433     3.        
 7.38n     -5.f       -18.352n    2.8993     0.13802    1.7304     2.3696     3.        
738.7 IN ->0
 7.39n     -9.f       -18.367n    2.9388     0.075337   1.9629     1.1377     3.        
 7.4n      -7.f        18.41n     2.9686     0.062655   2.2211     0.23688    3.        
 7.41n     -7.f       -18.384n    2.9866     0.069408   2.548      0.050721   3.        
 7.42n     -6.f        18.388n    2.9898     0.050173   2.7672     0.046515   3.        
 7.43n     -6.f       -18.387n    2.9906     0.027479   2.8756     0.015018   3.        
 7.44n     -4.f        18.393n    2.9926     0.015639   2.9376     0.011883   3.        
 7.45n     -4.f       -18.385n    2.9936     0.0079157  2.9673     0.0040412  3.        
 7.46n     -5.f        18.391n    2.9957     0.0044849  2.9838     0.0030582  3.        
 7.47n     -4.f       -18.384n    2.9961     0.0021532  2.9915     0.0010785  3.        
 7.48n     -4.f        18.387n    2.9969     0.0028274  2.9961     952.68u    3.        
748.7 OUT->1 IN=0
 7.49n     -4.f       -18.383n    2.9975     712.98u    2.9976     63.645u    3.        
 7.5n      -3.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 7.51n     -7.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 7.52n     -1.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 7.53n      6.f        3.         0.35345    0.44749    3.1142     0.021062   3.        
 7.54n      6.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        
 7.55n      7.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 7.56n      7.f        3.         0.096736   2.1221     2.386     -0.12916    3.        
 7.57n      2.f        3.         0.059209   2.3611     1.6864    -0.11208    3.        
 7.58n      0.         3.         0.037882   2.5175     1.0083     0.20747    3.        
 7.59n      3.f        3.         0.034014   2.6781     0.63886    1.2964     3.        
758.9 IN ->1
 7.6n       3.f        3.         0.026134   2.7933     0.41583    2.3973     3.        
 7.61n      4.f        3.         0.014579   2.8524     0.1974     2.8605     3.        
 7.62n      4.f        3.         0.010745   2.9015     0.066201   2.9478     3.        
 7.63n      5.f        3.         0.0090727  2.9448     0.026418   2.9855     3.        
 7.64n      7.f        3.         0.006854   2.9703     0.010596   2.9942     3.        
 7.65n      6.f        3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 7.66n      6.f        3.         0.0032696  2.9919     0.0022846  2.999      3.        
 7.67n      3.f        3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 7.68n      4.f        3.         0.0013128  2.9977     922.47u    2.9986     3.        
768.9 OUT->0 IN=1
 7.69n      5.f        3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 7.7n       5.f        740.13p   -0.40704    2.9141    -0.01498    2.9923     3.        
 7.71n      2.f        649.76p    0.5343     3.1692     0.042958   3.0248     3.        
 7.72n     -2.f        514.12p    1.3359     3.1487    -0.004148   2.987      3.        
 7.73n     -1.f        336.59p    1.9187     2.7987    -0.060034   2.9795     3.        
 7.74n      1.f        177.81p    2.2628     2.1663    -0.12071    2.9776     3.        
 7.75n      0.         102.83p    2.4529     1.4159    -0.086254   3.0146     3.        
 7.76n      0.         87.633p    2.5819     0.75617    0.17333    3.104      3.        
 7.77n     -3.f        103.91p    2.7117     0.37349    0.69502    3.2132     3.        
 7.78n     -5.f        66.982p    2.8274     0.21918    1.2838     3.0433     3.        
 7.79n     -6.f        35.688p    2.8993     0.13802    1.7304     2.3696     3.        
779.7 IN ->0
 7.8n      -6.f        21.456p    2.9388     0.075337   1.9629     1.1377     3.        
 7.81n     -7.f        22.488p    2.9686     0.062655   2.2211     0.23688    3.        
 7.82n     -6.f        4.182p     2.9866     0.069408   2.548      0.050721   3.        
 7.83n     -5.f        505.f      2.9898     0.050173   2.7672     0.046515   3.        
 7.84n     -4.f        632.f      2.9906     0.027479   2.8756     0.015018   3.        
 7.85n     -3.f        4.679p     2.9926     0.015639   2.9376     0.011883   3.        
 7.86n     -4.f        2.729p     2.9936     0.0079157  2.9673     0.0040412  3.        
 7.87n     -4.f        3.071p     2.9957     0.0044849  2.9838     0.0030582  3.        
 7.88n     -3.f        3.673p     2.9961     0.0021531  2.9915     0.0010785  3.        
 7.89n     -3.f       -1.25p      2.9969     0.0028275  2.9961     952.68u    3.        
789.7 OUT->1 IN=0
 7.9n      -3.f        4.579p     2.9975     712.97u    2.9976     63.64u     3.        
 7.91n      0.         3.         3.1858     0.033583   3.0049     0.0032456  3.        
 7.92n      0.         3.         1.863     -0.219      2.9468    -0.016924   3.        
 7.93n      7.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 7.94n      16.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 7.95n      18.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 7.96n      18.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 7.97n      21.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 7.98n      21.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 7.99n      17.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 8.n        20.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
799.9 IN ->1
 8.01n      18.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 8.02n      21.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 8.03n      21.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 8.04n      21.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 8.05n      19.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 8.06n      21.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 8.07n      19.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 8.08n      21.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 8.09n      20.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
809.9 OUT->0 IN=1
 8.1n       20.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 8.11n      21.f       19.128n   -0.40704    2.9141    -0.01498    2.9923     3.        
 8.12n      2.f       -17.738n    0.5343     3.1692     0.042958   3.0248     3.        
 8.13n     -3.f       -17.874n    1.3359     3.1487    -0.004148   2.987      3.        
 8.14n     -4.f       -18.051n    1.9187     2.7987    -0.060034   2.9795     3.        
 8.15n     -1.f       -18.21n     2.2628     2.1663    -0.12071    2.9776     3.        
 8.16n     -1.f        18.491n    2.4529     1.4159    -0.086254   3.0146     3.        
 8.17n     -2.f       -18.3n      2.5819     0.75617    0.17333    3.104      3.        
 8.18n     -3.f        18.492n    2.7117     0.37349    0.69502    3.2132     3.        
 8.19n     -5.f       -18.321n    2.8274     0.21918    1.2838     3.0433     3.        
 8.2n      -5.f       -18.352n    2.8993     0.13802    1.7304     2.3696     3.        
820.7 IN ->0
 8.21n     -6.f       -18.367n    2.9388     0.075337   1.9629     1.1377     3.        
 8.22n     -4.f        18.41n     2.9686     0.062655   2.2211     0.23688    3.        
 8.23n     -3.f       -18.384n    2.9866     0.069408   2.548      0.050721   3.        
 8.24n     -1.f        18.388n    2.9898     0.050173   2.7672     0.046515   3.        
 8.25n     -1.f       -18.387n    2.9906     0.027479   2.8756     0.015018   3.        
 8.26n     -1.f        18.393n    2.9926     0.015639   2.9376     0.011883   3.        
 8.27n     -2.f       -18.385n    2.9936     0.0079157  2.9673     0.0040412  3.        
 8.28n     -3.f        18.391n    2.9957     0.0044849  2.9838     0.0030582  3.        
 8.29n     -1.f       -18.384n    2.9961     0.0021532  2.9915     0.0010785  3.        
 8.3n      -1.f        18.387n    2.9969     0.0028274  2.9961     952.68u    3.        
830.7 OUT->1 IN=0
 8.31n     -2.f       -18.383n    2.9975     712.98u    2.9976     63.645u    3.        
 8.32n      1.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 8.33n     -2.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 8.34n      4.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 8.35n      12.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 8.36n      11.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 8.37n      9.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 8.38n      13.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 8.39n      13.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 8.4n       15.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 8.41n      22.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
840.9 IN ->1
 8.42n      23.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 8.43n      23.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 8.44n      25.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 8.45n      24.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 8.46n      24.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 8.47n      22.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 8.48n      21.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 8.49n      21.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 8.5n       21.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
850.9 OUT->0 IN=1
 8.51n      20.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 8.52n      19.f       740.15p   -0.40704    2.9141    -0.01498    2.9923     3.        
 8.53n      2.f        649.76p    0.5343     3.1692     0.042958   3.0248     3.        
 8.54n     -1.f        514.12p    1.3359     3.1487    -0.004148   2.987      3.        
 8.55n     -1.f        336.59p    1.9187     2.7987    -0.060034   2.9795     3.        
 8.56n      2.f        177.8p     2.2628     2.1663    -0.12071    2.9776     3.        
 8.57n      0.         102.84p    2.4529     1.4159    -0.086254   3.0146     3.        
 8.58n      1.f        87.631p    2.5819     0.75617    0.17333    3.104      3.        
 8.59n      0.         103.91p    2.7117     0.37349    0.69502    3.2132     3.        
 8.6n      -1.f        66.983p    2.8274     0.21918    1.2838     3.0433     3.        
 8.61n     -3.f        35.687p    2.8993     0.13802    1.7304     2.3696     3.        
861.7 IN ->0
 8.62n     -5.f        21.454p    2.9388     0.075337   1.9629     1.1377     3.        
 8.63n     -5.f        22.494p    2.9686     0.062655   2.2211     0.23688    3.        
 8.64n     -2.f        4.182p     2.9866     0.069408   2.548      0.050721   3.        
 8.65n     -2.f        512.f      2.9898     0.050173   2.7672     0.046515   3.        
 8.66n     -1.f        631.f      2.9906     0.027479   2.8756     0.015018   3.        
 8.67n      0.         4.686p     2.9926     0.015639   2.9376     0.011883   3.        
 8.68n      1.f        2.73p      2.9936     0.0079157  2.9673     0.0040412  3.        
 8.69n      1.f        3.08p      2.9957     0.0044849  2.9838     0.0030582  3.        
 8.7n       1.f        3.674p     2.9961     0.0021531  2.9915     0.0010785  3.        
 8.71n      3.f       -1.24p      2.9969     0.0028275  2.9961     952.68u    3.        
871.7 OUT->1 IN=0
 8.72n      4.f        4.583p     2.9975     712.97u    2.9976     63.64u     3.        
 8.73n      4.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 8.74n      3.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 8.75n      9.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 8.76n      16.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 8.77n      12.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 8.78n      13.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 8.79n      13.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 8.8n       13.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 8.81n      11.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 8.82n      14.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
881.9 IN ->1
 8.83n      13.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 8.84n      17.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 8.85n      19.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 8.86n      19.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 8.87n      19.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 8.88n      19.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 8.89n      22.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 8.9n       18.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 8.91n      17.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
891.9 OUT->0 IN=1
 8.92n      19.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 8.93n      21.f       19.128n   -0.40704    2.9141    -0.01498    2.9923     3.        
 8.94n      1.f       -17.738n    0.5343     3.1692     0.042958   3.0248     3.        
 8.95n     -3.f       -17.874n    1.3359     3.1487    -0.004148   2.987      3.        
 8.96n     -2.f       -18.051n    1.9187     2.7987    -0.060034   2.9795     3.        
 8.97n      2.f       -18.21n     2.2628     2.1663    -0.12071    2.9776     3.        
 8.98n      3.f        18.491n    2.4529     1.4159    -0.086254   3.0146     3.        
 8.99n      2.f       -18.3n      2.5819     0.75617    0.17333    3.104      3.        
 9.n        3.f        18.492n    2.7117     0.37349    0.69502    3.2132     3.        
 9.01n      1.f       -18.321n    2.8274     0.21918    1.2838     3.0433     3.        
 9.02n     -2.f       -18.352n    2.8993     0.13802    1.7304     2.3696     3.        
902.7 IN ->0
 9.03n     -3.f       -18.366n    2.9388     0.075337   1.9629     1.1377     3.        
 9.04n     -3.f        18.41n     2.9686     0.062655   2.2211     0.23688    3.        
 9.05n     -3.f       -18.384n    2.9866     0.069408   2.548      0.050721   3.        
 9.06n     -4.f        18.388n    2.9898     0.050173   2.7672     0.046515   3.        
 9.07n     -3.f       -18.387n    2.9906     0.027479   2.8756     0.015018   3.        
 9.08n      0.         18.393n    2.9926     0.015639   2.9376     0.011883   3.        
 9.09n     -2.f       -18.385n    2.9936     0.0079157  2.9673     0.0040412  3.        
 9.1n      -3.f        18.391n    2.9957     0.0044849  2.9838     0.0030582  3.        
 9.11n     -2.f       -18.384n    2.9961     0.0021532  2.9915     0.0010785  3.        
 9.12n      0.         18.387n    2.9969     0.0028274  2.9961     952.68u    3.        
912.7 OUT->1 IN=0
 9.13n      1.f       -18.383n    2.9975     712.98u    2.9976     63.645u    3.        
 9.14n      2.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 9.15n      1.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 9.16n      9.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 9.17n      18.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 9.18n      16.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 9.19n      14.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 9.2n       15.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 9.21n      15.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 9.22n      15.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 9.23n      19.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
922.9 IN ->1
 9.24n      20.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 9.25n      24.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 9.26n      24.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 9.27n      25.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 9.28n      24.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 9.29n      26.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 9.3n       27.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 9.31n      26.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 9.32n      25.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
932.9 OUT->0 IN=1
 9.33n      28.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 9.34n      31.f       740.17p   -0.40704    2.9141    -0.01498    2.9923     3.        
 9.35n      2.f        649.76p    0.5343     3.1692     0.042958   3.0248     3.        
 9.36n     -4.f        514.11p    1.3359     3.1487    -0.004148   2.987      3.        
 9.37n     -6.f        336.58p    1.9187     2.7987    -0.060034   2.9795     3.        
 9.38n     -3.f        177.79p    2.2628     2.1663    -0.12071    2.9776     3.        
 9.39n     -3.f        102.84p    2.4529     1.4159    -0.086254   3.0146     3.        
 9.4n      -2.f        87.624p    2.5819     0.75617    0.17333    3.104      3.        
 9.41n     -3.f        103.91p    2.7117     0.37349    0.69502    3.2132     3.        
 9.42n     -7.f        66.974p    2.8274     0.21918    1.2838     3.0433     3.        
 9.43n     -9.f        35.68p     2.8993     0.13802    1.7304     2.3696     3.        
943.7 IN ->0
 9.44n     -10.f       21.446p    2.9388     0.075337   1.9629     1.1377     3.        
 9.45n     -11.f       22.49p     2.9686     0.062655   2.2211     0.23688    3.        
 9.46n     -9.f        4.173p     2.9866     0.069408   2.548      0.050721   3.        
 9.47n     -8.f        509.f      2.9898     0.050173   2.7672     0.046515   3.        
 9.48n     -8.f        622.f      2.9906     0.027479   2.8756     0.015018   3.        
 9.49n     -8.f        4.681p     2.9926     0.015639   2.9376     0.011883   3.        
 9.5n      -10.f       2.717p     2.9936     0.0079157  2.9673     0.0040412  3.        
 9.51n     -11.f       3.071p     2.9957     0.0044849  2.9838     0.0030582  3.        
 9.52n     -10.f       3.66p      2.9961     0.0021531  2.9915     0.0010785  3.        
 9.53n     -9.f       -1.249p     2.9969     0.0028275  2.9961     952.68u    3.        
953.7 OUT->1 IN=0
 9.54n     -10.f       4.566p     2.9975     712.97u    2.9976     63.64u     3.        
 9.55n     -6.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 9.56n     -8.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 9.57n      1.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 9.58n      10.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 9.59n      11.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 9.6n       9.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 9.61n      14.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 9.62n      12.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 9.63n      10.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 9.64n      12.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
963.9 IN ->1
 9.65n      13.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 9.66n      17.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 9.67n      17.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 9.68n      20.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 9.69n      20.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 9.7n       20.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 9.71n      19.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 9.72n      18.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 9.73n      19.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
973.9 OUT->0 IN=1
 9.74n      20.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 9.75n      21.f       19.128n   -0.40704    2.9141    -0.01498    2.9923     3.        
 9.76n      1.f       -17.738n    0.5343     3.1692     0.042958   3.0248     3.        
 9.77n     -5.f       -17.874n    1.3359     3.1487    -0.004148   2.987      3.        
 9.78n     -7.f       -18.051n    1.9187     2.7987    -0.060034   2.9795     3.        
 9.79n     -4.f       -18.21n     2.2628     2.1663    -0.12071    2.9776     3.        
 9.8n      -5.f        18.491n    2.4529     1.4159    -0.086254   3.0146     3.        
 9.81n     -5.f       -18.3n      2.5819     0.75617    0.17333    3.104      3.        
 9.82n     -6.f        18.492n    2.7117     0.37349    0.69502    3.2132     3.        
 9.83n     -6.f       -18.321n    2.8274     0.21918    1.2838     3.0433     3.        
 9.84n     -8.f       -18.352n    2.8993     0.13802    1.7304     2.3696     3.        
984.7 IN ->0
 9.85n     -8.f       -18.366n    2.9388     0.075337   1.9629     1.1377     3.        
 9.86n     -7.f        18.41n     2.9686     0.062655   2.2211     0.23688    3.        
 9.87n     -6.f       -18.384n    2.9866     0.069408   2.548      0.050721   3.        
 9.88n     -5.f        18.388n    2.9898     0.050173   2.7672     0.046515   3.        
 9.89n     -4.f       -18.387n    2.9906     0.027479   2.8756     0.015018   3.        
 9.9n      -2.f        18.393n    2.9926     0.015639   2.9376     0.011883   3.        
 9.91n     -2.f       -18.385n    2.9936     0.0079157  2.9673     0.0040412  3.        
 9.92n     -2.f        18.391n    2.9957     0.0044849  2.9838     0.0030582  3.        
 9.93n     -2.f       -18.384n    2.9961     0.0021532  2.9915     0.0010785  3.        
 9.94n      1.f        18.387n    2.9969     0.0028274  2.9961     952.68u    3.        
994.7 OUT->1 IN=0
 9.95n      1.f       -18.383n    2.9975     712.98u    2.9976     63.645u    3.        
 9.96n      0.         3.         3.1858     0.033583   3.0049     0.0032456  3.        
 9.97n     -3.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 9.98n      4.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 9.99n      10.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 10.n       9.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        

